address,stutia,stuatom,stuosmo
stride10cupf9s43mgjqrte5c4jfnzt5zqlj7whnjvnqk,0,172302,0
stride10cwc3d6gh7a76y6n2358z3wmt6hdvd73z6szxv,21296759,0,0
stride10cwu2sn7ck8dyt0mlq2a8rqkt0jkumnrwtlhrs,0,498223,0
stride10d2hl8gmgwpxru56naanhx2c0s45q5uwc5jcd3,5859998,0,0
stride10d3gg2mj9c40hqvqz4j9sv6yzecy2ndkja6jdx,0,77305183,0
stride10d3x3fyzkeart33kjvq4hk9qksjwumnmtv2c8h,0,415484,152522
stride10d600anxydqjm20xdq6hv0npax67cc5f2azzth,0,391523,0
stride10d95rg9c5vf2qk85d3xk93yrl0dst3hspk9h4v,0,1084538,954388
stride10datnnlcjmrdl37ka0g4u83chvxpfafm5xz469,550619,0,0
stride10dcd864wrhupym3ds8mz7l6kvmehla6qucakwg,0,0,144051
stride10dcj3s0wtc5p0tzazj44yd4fjxwdyfna3ydsu2,0,555071,0
stride10dcw7z6ygr6p0re7u5qcdrmhmt9v3dqc6p77re,3979999,0,0
