address,amount,denom,usd_value
dym15wrut3s7phcd9zsw8c4p68ve7m9kugg8uguera,38.47082,stutia,631.3061562
dym15x4dq32lak8qheeg9e7yhdaqtqpgt2s8k02qv8,6.834153,stutia,112.14845073
dym15yqhwf59c9wcsrl5hc72nceyjpdkhn9npevv5r,6.869145,stutia,112.72266945
dym15zp8t4v736xz3de4kgvk87ktsmza4d6vj8j5x9,545.78,stadym,3744.5420019999997
dym1649gdrdvvuyz69xnvcntajgm59x6ytsu9lnjqf,22.553519,stutia,370.10324679
dym169730wqpd4qd8992ke7x5vfj4nfv0t39rtrg2s,102.286131,stutia,1678.51540971
dym169ejycstg3xdpgp25znrmthqxd2dzax2wh6865,28.26229,stutia,463.78417890000003
dym16adxrrqaqnmaqckh3gxemxux44436a9jled40t,26.110831,stutia,428.47873671
dym16dxfjhy6us6f8vr86xtdktue2364xl9sc3ms55,12.811026,stutia,210.22893666
dym16e5gtucr229mnmc57w55gvd4x8eehtfzhpx7uq,10.929751,stutia,179.35721390999998
dym16gt2refyu6m9ppgswfu08de0ulehhaeeg9qtf3,10.006939,stutia,164.21386898999998
dym16h0grel9unm5pgnwhvj56czju8grk3u8e0m79h,9.958688,stutia,163.42207008
dym16h0mqy5d3ms7ccn429urmmmamnx3d8rv2wf4uf,103.526513,stutia,1698.8700783299998
dym16mydxtccg70qgakknqr6w92j7fcsy5477a9s6l,11.830036,stutia,194.13089076
dym16plt4ycc2rrplhdn63a47ult4y6drdem2jqxd9,78.536916,stutia,1288.7907915600001
dym16ru6zux8r7fgpqs5yrt6frptt7tyaqga40ha58,51.707514,stutia,848.52030474
dym16s8a396j2n5adudu3rmrl7544rhfpnr8rpjswa,20.070892,stutia,329.36333772
dym16u574lhx2f4tc4lgjah9uqf8q6tcw7aa5afqyr,11.972225,stutia,196.46421225
dym16w7kkk4fjvztdlz2s32ddz8lh4pu9aywu7sckl,15.997727,stutia,262.52270007
dym16wyt6k05c7crxc4sjhgm5h7gnygjvydrvn9gsf,19.997659,stutia,328.16158419
dym16x2nvaey2rkla23ku82tqv4nlta6mavj4h7a8a,42.688762,stutia,700.5225844199999
dym16x2qryce4q2nx4ag74wj4t2qzeafj6nl0pasu9,6.599705,stutia,108.30115905000001
dym16xgkpqm3e8xzx46wz5kpwzgcx8up257el6akkn,15.604195,stutia,256.06483995
dym16xlkpmvvunq69tmkph8xa4ndka0lgamv8k76q0,16.611876,stutia,272.60088515999996
dym16xz3hgm7us0q8vwsk2p0lzenp3f9e23tg84pa5,10.911188,stutia,179.05259507999997
dym16yvma5nq593mmr4afkh8w8xuqjf5v2mtwplhye,48.460404,stutia,795.23522964
dym172423d7laqu3pzk46jhn0dcvqjrfalh49tah99,23.454346,stutia,384.88581786000003
dym172llu8w6gtcpjezft6srnds668gg62wkycgt74,7.825849,stutia,128.42218209
dym172zhq622djwdqj2f2ktx4e667cdt7ks8jc7s7e,232.063258,stutia,3808.15806378
dym173hzgfr7x23lnpvl7pqw3lmm8x4r69p57uz8ev,66.397894,stutia,1089.58944054
dym174rfs4vgneldy99862c2cav9c5c2rf7lepry4e,55.83213,stutia,916.2052533
dym174rfs4vgneldy99862c2cav9c5c2rf7lepry4e,358.748671,stutia,5887.06569111
dym175ch0t2mrl0hvthxjz4x7dmw0xtvz8kv26cyr7,10.697052,stutia,175.53862332
dym176eha3ymdchn4dv0fr5ld5mzkc05es7cehwd05,9.904773,stutia,162.53732493
dym176p2x9cck9ffcjrjg6d7qcfx5pdvcqr2w2s3as,101.841895,stutia,1671.22549695
dym177d62spqvddee02wx2en8trsvxrz022jnwzhds,196.56418,stutia,3225.6181938
dym178udu5x8nvr27yvxlasxum5rslusrde8ckagny,32.613707,stutia,535.19093187
dym1792dsa68ggp63uy6gfzyj4ap48ym8wsxugzqwq,30.685223,stadym,210.5282464807
dym179sxk2vuqgua8xaj7hqeffjqy6d42cufhzxxlt,9.667845,stutia,158.64933645
dym179z0pysvp6kkmhawudwtu5czgwnezxe5h8vm2d,20.534849,stutia,336.97687209000003
dym17a4kq9jupnwhr4xdemhwtdnvt39tcpw582n86j,7.517944,stutia,123.36946104
dym17c4a4lzvkwqgx3k9s4xql5ff723zcqhqfxy5kt,20.316016,stutia,333.38582256
dym17cmt66ppkwahm5fgffnkjlx3q3n4nqlpeq5ct6,55.017262,stutia,902.8332694200001
dym17dw0fsj5g5fcs32nu942n9u8ujjg6md5t2lkvn,12.044449,stutia,197.64940809
