,stutia,sttia,strd
stride18ffvwh75he35jwh8pn9da3y890uu62nqnwd2hp,123789080,123.78908,59.59649342091053
stride18fm7lrd3y2ymvw709vkkxhwyzfdfamgk9vfg0a,10080000,10.08,4.8528727548728705
stride18gc7585gqxhzlektv0n9f5d4laknhchsn26gvp,22980000,22.98,11.063394435216127
stride18hey2x4u65q9k2c5vus5q0j2wdh4lt0u2j9r45,7480000,7.48,3.6011397030207415
stride18hh3fhmhkslztp995sjg9nuzxsx3jrwhuphduh,11000000,11.0,5.295793680912855
stride18hqgswd697q0sqsy07gcg386jurzsjd9cldz96,15000000,15.0,7.221536837608438
stride18j343ycdutgvdlcuc2txqev6qyf84l5aj7xeq7,12283200,12.2832,5.913572085580799
stride18kkntusdpetf4uuzcz86eacfhws5a7kf6tgla9,2580000,2.58,1.2421043360686512
stride18kwhlvu570886v48gpylyyd0h430wnptz5s45p,15980000,15.98,7.6933439109988555
stride18l6nkytrasdezyprh6y7jm6jqsmf6ytxh3g736,1000000,1.0,0.4814357891738959
stride18pq9f5zk2c9mhj55elra99sywm967gzympfpck,8300000,8.3,3.995917050143336
stride18pzmqzxknxs44ex9jnx92rn2js4ey9ee032a9x,3000000,3.0,1.4443073675216875
stride18qrxstqezvplxv8nkyft9r2kadnv234xe6jy4a,4800000,4.8,2.3108917880347
stride18rdyjzxvlkg6sg47ulnpzqz8h2r0hgnr4syzds,10000000,10.0,4.8143578917389585
